Year Month,ANZSOC Division,Police District,vict_sum,vict_cnt
2019-04-01,Sexual Assault and Related Offences,Auckland City,36,33
2019-04-01,Sexual Assault and Related Offences,Bay Of Plenty,40,39
2019-04-01,Sexual Assault and Related Offences,Canterbury,63,53
2019-04-01,Sexual Assault and Related Offences,Central,56,51
2019-04-01,Sexual Assault and Related Offences,Counties/Manukau,51,46
2019-04-01,Sexual Assault and Related Offences,Eastern,38,36
2019-04-01,Sexual Assault and Related Offences,Northland,8,7
2019-04-01,Sexual Assault and Related Offences,Southern,36,35
2019-04-01,Sexual Assault and Related Offences,Tasman,23,22
2019-04-01,Sexual Assault and Related Offences,Waikato,46,44
2019-04-01,Sexual Assault and Related Offences,Waitemata,45,44
2019-04-01,Sexual Assault and Related Offences,Wellington,49,45
2019-04-01,Theft and Related Offences,Auckland City,1551,721
2019-04-01,Theft and Related Offences,Bay Of Plenty,962,598
2019-04-01,Theft and Related Offences,Canterbury,1412,578
2019-04-01,Theft and Related Offences,Central,844,478
2019-04-01,Theft and Related Offences,Counties/Manukau,1468,803
2019-04-01,Theft and Related Offences,Eastern,656,376
2019-04-01,Theft and Related Offences,Northland,388,247
2019-04-01,Theft and Related Offences,Southern,401,291
2019-04-01,Theft and Related Offences,Tasman,273,193
2019-04-01,Theft and Related Offences,Waikato,965,569
2019-04-01,Theft and Related Offences,Waitemata,1262,591
2019-04-01,Theft and Related Offences,Wellington,1227,620
2019-04-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Auckland City,648,84
2019-04-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Bay Of Plenty,399,93
2019-04-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Canterbury,704,84
2019-04-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Central,460,91
2019-04-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Counties/Manukau,688,91
2019-04-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Eastern,315,54
2019-04-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Northland,217,49
2019-04-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Southern,235,58
2019-04-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Tasman,114,32
2019-04-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Waikato,524,93
2019-04-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Waitemata,452,70
2019-04-01,"Unlawful Entry With Intent/Burglary, Break and Enter",Wellington,477,84
2019-05-01,"Abduction, Harassment and Other Related Offences Against a Person",Auckland City,2,2
2019-05-01,"Abduction, Harassment and Other Related Offences Against a Person",Bay Of Plenty,4,4
2019-05-01,"Abduction, Harassment and Other Related Offences Against a Person",Canterbury,6,6
2019-05-01,"Abduction, Harassment and Other Related Offences Against a Person",Central,5,5
2019-05-01,"Abduction, Harassment and Other Related Offences Against a Person",Counties/Manukau,8,8
2019-05-01,"Abduction, Harassment and Other Related Offences Against a Person",Eastern,4,4
2019-05-01,"Abduction, Harassment and Other Related Offences Against a Person",Northland,1,1
2019-05-01,"Abduction, Harassment and Other Related Offences Against a Person",Southern,4,4
2019-05-01,"Abduction, Harassment and Other Related Offences Against a Person",Tasman,2,2
2019-05-01,"Abduction, Harassment and Other Related Offences Against a Person",Waikato,4,4
2019-05-01,"Abduction, Harassment and Other Related Offences Against a Person",Waitemata,2,2
2019-05-01,"Abduction, Harassment and Other Related Offences Against a Person",Wellington,8,8
2019-05-01,Acts Intended to Cause Injury,Auckland City,259,223
2019-05-01,Acts Intended to Cause Injury,Bay Of Plenty,481,390
2019-05-01,Acts Intended to Cause Injury,Canterbury,345,247
2019-05-01,Acts Intended to Cause Injury,Central,409,353
2019-05-01,Acts Intended to Cause Injury,Counties/Manukau,633,549
2019-05-01,Acts Intended to Cause Injury,Eastern,338,260
2019-05-01,Acts Intended to Cause Injury,Northland,161,141
2019-05-01,Acts Intended to Cause Injury,Southern,233,193
2019-05-01,Acts Intended to Cause Injury,Tasman,153,133
2019-05-01,Acts Intended to Cause Injury,Waikato,399,333
2019-05-01,Acts Intended to Cause Injury,Waitemata,319,278
2019-05-01,Acts Intended to Cause Injury,Wellington,518,445
2019-05-01,"Robbery, Extortion and Related Offences",Auckland City,35,31
2019-05-01,"Robbery, Extortion and Related Offences",Bay Of Plenty,20,20
2019-05-01,"Robbery, Extortion and Related Offences",Canterbury,36,30
2019-05-01,"Robbery, Extortion and Related Offences",Central,21,20
2019-05-01,"Robbery, Extortion and Related Offences",Counties/Manukau,51,44
2019-05-01,"Robbery, Extortion and Related Offences",Eastern,18,17
2019-05-01,"Robbery, Extortion and Related Offences",Northland,9,9
2019-05-01,"Robbery, Extortion and Related Offences",Southern,9,6
2019-05-01,"Robbery, Extortion and Related Offences",Tasman,8,8
2019-05-01,"Robbery, Extortion and Related Offences",Waikato,30,24
2019-05-01,"Robbery, Extortion and Related Offences",Waitemata,22,21
2019-05-01,"Robbery, Extortion and Related Offences",Wellington,19,19
2019-05-01,Sexual Assault and Related Offences,Auckland City,41,38
2019-05-01,Sexual Assault and Related Offences,Bay Of Plenty,41,38
2019-05-01,Sexual Assault and Related Offences,Canterbury,59,50
2019-05-01,Sexual Assault and Related Offences,Central,49,47
2019-05-01,Sexual Assault and Related Offences,Counties/Manukau,68,57
2019-05-01,Sexual Assault and Related Offences,Eastern,42,33
2019-05-01,Sexual Assault and Related Offences,Northland,25,22
2019-05-01,Sexual Assault and Related Offences,Southern,47,42
2019-05-01,Sexual Assault and Related Offences,Tasman,21,20
2019-05-01,Sexual Assault and Related Offences,Waikato,43,40
2019-05-01,Sexual Assault and Related Offences,Waitemata,52,45
2019-05-01,Sexual Assault and Related Offences,Wellington,50,48
2019-05-01,Theft and Related Offences,Auckland City,1610,715
2019-05-01,Theft and Related Offences,Bay Of Plenty,1009,622
2019-05-01,Theft and Related Offences,Canterbury,1705,648
2019-05-01,Theft and Related Offences,Central,816,471
2019-05-01,Theft and Related Offences,Counties/Manukau,1526,820
2019-05-01,Theft and Related Offences,Eastern,733,382
